epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
71,2533.67,1.74715,0.62969,0.18802,1.98419,0.01027,4.57866,0.50401,0.43878,0.40282,0.18785,0.53286,0.4898,0.44286,0.40362,1.80884,0.68188,0.03913,2.16576,0.01271,0,0.000614,0.000614,0.000614
72,2570.66,1.75423,0.62451,0.16405,1.99489,0.01015,4.3065,0.47682,0.47449,0.39586,0.1872,0.48003,0.49457,0.41306,0.38516,1.74945,0.59154,0.04281,2.24091,0.01215,0,0.0005942,0.0005942,0.0005942
73,2605.97,1.69545,0.61658,0.16371,1.97329,0.00964,4.22305,0.51358,0.4949,0.40353,0.17899,0.53301,0.5102,0.42868,0.39213,1.76377,0.58905,0.04041,2.24777,0.01213,0,0.0005744,0.0005744,0.0005744
74,2642.26,1.69658,0.54484,0.16955,1.89321,0.01029,4.12556,0.47813,0.47449,0.40492,0.1896,0.51538,0.53061,0.43335,0.40372,1.72841,0.62834,0.04423,2.19188,0.01195,0,0.0005546,0.0005546,0.0005546
75,2677.55,1.68045,0.5582,0.18527,1.92931,0.0099,4.28247,0.50557,0.50605,0.43864,0.20353,0.52879,0.54082,0.46646,0.43025,1.68702,0.65014,0.04065,2.12814,0.01167,0,0.0005348,0.0005348,0.0005348
76,2713.09,1.71826,0.50231,0.18023,1.93479,0.0096,4.12267,0.49483,0.4898,0.41794,0.1818,0.54122,0.53571,0.46772,0.43594,1.72501,0.57436,0.04235,2.14955,0.01171,0,0.000515,0.000515,0.000515
77,2743.9,1.67486,0.54033,0.17823,1.8313,0.00974,4.00898,0.45493,0.45138,0.40317,0.19638,0.49854,0.51531,0.44853,0.41838,1.7585,0.59254,0.03947,2.16455,0.01231,0,0.0004952,0.0004952,0.0004952
78,2775.87,1.68559,0.52256,0.18382,1.88185,0.00973,4.16226,0.49464,0.44388,0.40643,0.19186,0.49247,0.4898,0.44233,0.4057,1.68095,0.59796,0.0419,2.25845,0.01159,0,0.0004754,0.0004754,0.0004754
79,2812.25,1.73836,0.60883,0.19002,2.00672,0.01027,4.37102,0.4299,0.48469,0.39706,0.18067,0.48165,0.51531,0.43534,0.40719,1.72368,0.60438,0.04464,2.24952,0.01187,0,0.0004556,0.0004556,0.0004556
80,2849.21,1.65053,0.58245,0.17243,1.9255,0.00978,4.23452,0.48141,0.46939,0.41526,0.20052,0.51483,0.53598,0.44815,0.41672,1.72815,0.63,0.04471,2.1579,0.01207,0,0.0004358,0.0004358,0.0004358
