epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
61,692.235,1.54472,1.11145,0.23119,1.43498,0.0088,6.67895,0.45692,0.59701,0.48597,0.26809,0.4724,0.61194,0.50512,0.398,1.37307,1.30206,0.04458,1.46745,0.0091,0,0.000812,0.000812,0.000812
62,704.55,1.39395,0.88124,0.20223,1.26158,0.00783,6.44303,0.50678,0.58209,0.45764,0.24196,0.51978,0.59701,0.48032,0.38173,1.34986,1.25136,0.05844,1.64878,0.009,0,0.0007922,0.0007922,0.0007922
63,716.485,1.3788,0.91422,0.24323,1.3515,0.00783,6.49637,0.46812,0.44776,0.43915,0.22535,0.42715,0.52239,0.4653,0.36828,1.34244,1.1849,0.04622,1.81896,0.00871,0,0.0007724,0.0007724,0.0007724
64,727.533,1.49624,0.92837,0.23367,1.26649,0.00848,6.4215,0.48794,0.53731,0.49167,0.25098,0.45744,0.5537,0.50185,0.39743,1.55468,1.09568,0.0648,1.81939,0.01035,0,0.0007526,0.0007526,0.0007526
65,739.397,1.43312,1.07034,0.21955,1.28865,0.00787,6.37642,0.51871,0.49871,0.45604,0.24463,0.51871,0.49871,0.46762,0.36939,1.33525,1.16994,0.06024,1.98469,0.00868,0,0.0007328,0.0007328,0.0007328
66,751.032,1.35972,0.95957,0.19031,1.24888,0.00782,6.50563,0.45553,0.53731,0.4661,0.25216,0.44062,0.56716,0.47903,0.37568,1.28201,1.15215,0.05168,1.83741,0.00836,0,0.000713,0.000713,0.000713
67,762.922,1.38339,1.05185,0.22046,1.28972,0.00787,6.42135,0.56229,0.46269,0.50196,0.25957,0.57556,0.47761,0.51653,0.40071,1.53685,1.13212,0.03802,1.856,0.01016,0,0.0006932,0.0006932,0.0006932
68,773.52,1.40255,0.93762,0.19293,1.23435,0.00762,6.19715,0.49075,0.55224,0.52614,0.26177,0.48142,0.58195,0.55612,0.42101,1.73894,1.11176,0.04284,1.93507,0.01183,0,0.0006734,0.0006734,0.0006734
69,785.149,1.40933,0.94618,0.1847,1.22472,0.00821,6.54782,0.57268,0.56716,0.52809,0.25281,0.58776,0.58209,0.55429,0.42382,1.53542,1.18332,0.03869,2.04136,0.01058,0,0.0006536,0.0006536,0.0006536
70,797.292,1.35553,0.99445,0.20526,1.1472,0.00745,6.12505,0.53977,0.57771,0.53343,0.26927,0.55372,0.59264,0.55505,0.42507,1.52137,1.21785,0.0439,1.82677,0.01029,0,0.0006338,0.0006338,0.0006338
71,808.865,1.46812,1.04277,0.21931,1.18435,0.00816,6.12228,0.54534,0.61194,0.54708,0.29205,0.56019,0.62687,0.56786,0.43114,1.49082,1.14315,0.06114,1.87143,0.01019,0,0.000614,0.000614,0.000614
72,819.159,1.4441,0.87631,0.21964,1.2036,0.00835,6.33182,0.55486,0.56716,0.53759,0.28185,0.56946,0.58209,0.56983,0.43735,1.43165,1.18078,0.0468,1.74966,0.00968,0,0.0005942,0.0005942,0.0005942
73,829.865,1.45496,1.01974,0.23132,1.16681,0.0083,6.16149,0.48277,0.59701,0.53414,0.26509,0.4992,0.62489,0.56973,0.43917,1.64099,1.26585,0.04039,1.66669,0.01095,0,0.0005744,0.0005744,0.0005744
74,840.992,1.38803,1.01568,0.20153,1.18688,0.00803,6.33208,0.51766,0.59701,0.53849,0.26806,0.49929,0.68464,0.57392,0.43254,1.64089,1.28714,0.04246,1.71334,0.01095,0,0.0005546,0.0005546,0.0005546
75,852.335,1.37685,0.88271,0.19077,1.07488,0.00774,6.24779,0.59006,0.59701,0.56554,0.28787,0.60481,0.61194,0.58946,0.45286,1.42627,1.20297,0.05372,1.84319,0.00958,0,0.0005348,0.0005348,0.0005348
76,862.366,1.40093,0.92179,0.18884,1.13172,0.00792,6.17209,0.68384,0.47761,0.56507,0.29727,0.68384,0.47761,0.57471,0.44758,1.40973,1.11339,0.09781,2.09051,0.00935,0,0.000515,0.000515,0.000515
77,873.737,1.36697,1.05681,0.21828,1.17273,0.00801,6.51141,0.64425,0.4866,0.56336,0.29169,0.63339,0.52239,0.57503,0.4428,1.43277,1.06031,0.11818,2.04026,0.00943,0,0.0004952,0.0004952,0.0004952
78,884.977,1.43108,0.99883,0.20826,1.10117,0.00834,6.17059,0.60644,0.50599,0.53871,0.26672,0.56866,0.55224,0.55933,0.42697,1.49433,1.12084,0.11266,2.02482,0.00976,0,0.0004754,0.0004754,0.0004754
79,895.717,1.35618,0.94232,0.20953,1.13291,0.00745,6.0082,0.49197,0.65672,0.53729,0.25951,0.51616,0.61194,0.56254,0.43046,1.48933,1.06835,0.13531,2.01094,0.00967,0,0.0004556,0.0004556,0.0004556
