epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
65,1142.49,1.43862,0.9319,0.19421,1.31635,0.00789,5.8143,0.32359,0.55224,0.30594,0.14574,0.35081,0.59701,0.34639,0.27152,1.55546,0.98714,0.03618,1.89452,0.01035,0,0.0007328,0.0007328,0.0007328
66,1159.23,1.38022,0.81177,0.14222,1.24799,0.00785,5.80379,0.3239,0.52239,0.28243,0.13997,0.3285,0.59701,0.31517,0.24962,1.485,0.93479,0.04118,2.0719,0.00978,0,0.000713,0.000713,0.000713
67,1176.41,1.36349,0.84643,0.17436,1.33053,0.00767,5.88142,0.39537,0.43284,0.33831,0.19933,0.36913,0.47761,0.36173,0.28661,1.47077,0.81403,0.03364,1.8975,0.00974,0,0.0006932,0.0006932,0.0006932
68,1193.61,1.40669,0.74943,0.16422,1.28434,0.00747,5.61581,0.32095,0.67164,0.36189,0.18096,0.32916,0.65672,0.37632,0.30204,1.60275,0.79411,0.02617,1.97523,0.01098,0,0.0006734,0.0006734,0.0006734
69,1209.87,1.42819,0.8083,0.15343,1.25959,0.00831,6.12499,0.33979,0.53731,0.36172,0.18075,0.34853,0.55897,0.38162,0.30238,1.57125,1.03265,0.02974,1.9897,0.0105,0,0.0006536,0.0006536,0.0006536
70,1226.62,1.36237,0.87737,0.15888,1.25208,0.00737,5.4542,0.33636,0.52239,0.29669,0.14403,0.36306,0.54453,0.32695,0.25902,1.70059,1.16471,0.0359,2.21098,0.01093,0,0.0006338,0.0006338,0.0006338
71,1242.79,1.41055,0.8499,0.17339,1.37424,0.00778,5.61998,0.34337,0.49254,0.31443,0.17909,0.3618,0.55224,0.33915,0.26969,1.55758,1.12197,0.03337,2.25575,0.01036,0,0.000614,0.000614,0.000614
72,1259.09,1.37004,0.70517,0.18869,1.35093,0.00789,5.74156,0.33591,0.46269,0.31878,0.1719,0.37718,0.52239,0.37196,0.29601,1.70313,1.21064,0.03497,2.19456,0.01121,0,0.0005942,0.0005942,0.0005942
73,1275.33,1.35399,0.88774,0.19442,1.3195,0.00745,5.56243,0.38508,0.46269,0.3563,0.20242,0.39012,0.58209,0.39638,0.3144,1.66399,1.16085,0.0331,1.97899,0.01073,0,0.0005744,0.0005744,0.0005744
74,1293.02,1.38333,0.77085,0.16004,1.29117,0.00799,5.63084,0.43446,0.38806,0.3714,0.22462,0.36758,0.59701,0.39468,0.31353,1.48977,1.18874,0.02905,1.90995,0.00979,0,0.0005546,0.0005546,0.0005546
75,1318.21,1.3141,0.77133,0.14192,1.17525,0.00728,5.44366,0.37525,0.49254,0.32787,0.18969,0.4031,0.53731,0.36382,0.28596,1.57214,1.18073,0.03298,1.96456,0.0104,0,0.0005348,0.0005348,0.0005348
76,1334.97,1.38249,0.70229,0.15001,1.19467,0.00773,5.26752,0.3364,0.55224,0.31682,0.17922,0.35178,0.60751,0.33773,0.26981,1.56174,1.18518,0.03594,2.21516,0.01064,0,0.000515,0.000515,0.000515
77,1352.05,1.32319,0.87368,0.17061,1.2736,0.00779,5.99825,0.37083,0.48387,0.31068,0.1813,0.38208,0.53731,0.33753,0.26872,1.50489,1.2235,0.02775,2.07235,0.01024,0,0.0004952,0.0004952,0.0004952
78,1368.95,1.34019,0.77047,0.17157,1.14774,0.00778,5.30619,0.43524,0.49254,0.34447,0.18884,0.45229,0.53731,0.36458,0.29023,1.56414,1.17905,0.03458,1.90967,0.01079,0,0.0004754,0.0004754,0.0004754
79,1385.26,1.36357,0.67564,0.1648,1.2106,0.00736,5.10556,0.40451,0.46269,0.36606,0.20296,0.39355,0.50746,0.38988,0.31085,1.55766,1.09344,0.03407,1.93018,0.0106,0,0.0004556,0.0004556,0.0004556
80,1401.64,1.30157,0.70982,0.15284,1.13852,0.00698,5.05957,0.50524,0.4573,0.4187,0.24044,0.48492,0.52239,0.43048,0.34891,1.54997,1.10446,0.0313,1.91854,0.01072,0,0.0004358,0.0004358,0.0004358
81,1420.64,1.28146,0.64394,0.15331,1.17864,0.00744,5.1874,0.41316,0.50442,0.37735,0.20656,0.42539,0.51935,0.39701,0.32291,1.67496,1.14823,0.03276,1.86142,0.01138,0,0.000416,0.000416,0.000416
82,1436.93,1.38058,0.63927,0.15762,1.15339,0.00757,5.09477,0.4245,0.49254,0.36497,0.19463,0.45452,0.52233,0.39788,0.32073,1.69758,1.18854,0.03219,1.81174,0.01144,0,0.0003962,0.0003962,0.0003962
83,1455.55,1.37386,0.79782,0.17036,1.22119,0.00757,5.32473,0.42019,0.52239,0.40175,0.21716,0.39933,0.55224,0.41057,0.33273,1.55114,1.15717,0.02917,1.79041,0.0108,0,0.0003764,0.0003764,0.0003764
84,1471.86,1.34218,0.78034,0.16321,1.21312,0.0075,5.44146,0.42772,0.43508,0.40107,0.22305,0.35312,0.63554,0.41206,0.32898,1.56704,1.17124,0.03426,1.64352,0.01065,0,0.0003566,0.0003566,0.0003566
85,1492.29,1.29052,0.6147,0.17095,1.14694,0.00756,5.241,0.46855,0.40299,0.41321,0.23435,0.3936,0.52315,0.43052,0.34201,1.5711,1.20594,0.03324,1.62869,0.01069,0,0.0003368,0.0003368,0.0003368
86,1509.38,1.28704,0.70117,0.13868,1.13439,0.00709,4.8969,0.45972,0.44454,0.39957,0.21922,0.41121,0.47952,0.41813,0.33343,1.59552,1.17545,0.0318,1.77019,0.01081,0,0.000317,0.000317,0.000317
87,1528.43,1.27054,0.64504,0.17953,1.1539,0.00716,5.20818,0.49259,0.41791,0.3902,0.22511,0.46932,0.49254,0.42019,0.33866,1.59661,1.13993,0.02866,1.81411,0.01079,0,0.0002972,0.0002972,0.0002972
88,1544.85,1.30589,0.70797,0.17142,1.25131,0.00742,5.13679,0.37103,0.55224,0.37276,0.21412,0.43269,0.52367,0.40565,0.32641,1.63668,1.15225,0.03078,1.9064,0.01101,0,0.0002774,0.0002774,0.0002774
89,1561.17,1.33521,0.73153,0.18941,1.18365,0.00769,5.04241,0.44104,0.44776,0.36813,0.19798,0.47623,0.49254,0.41788,0.33216,1.76699,1.18766,0.03534,1.94573,0.01173,0,0.0002576,0.0002576,0.0002576
90,1577.49,1.24601,0.57106,0.15308,1.03149,0.00723,4.85953,0.49928,0.44649,0.3946,0.21648,0.53177,0.47761,0.43598,0.34663,1.71313,1.18295,0.0328,1.83983,0.01141,0,0.0002378,0.0002378,0.0002378
91,1596.34,1.23665,0.50919,0.06594,0.92118,0.00874,5.84013,0.50478,0.46269,0.41479,0.22204,0.46187,0.55224,0.44095,0.35008,1.64265,1.1324,0.02961,1.78684,0.01109,0,0.000218,0.000218,0.000218
92,1613.13,1.31853,0.51962,0.03699,0.96943,0.00894,5.84447,0.50352,0.45417,0.42132,0.22651,0.51882,0.46674,0.4477,0.35301,1.61593,1.12542,0.02994,1.81426,0.01099,0,0.0001982,0.0001982,0.0001982
93,1630.02,1.18459,0.47876,0.05057,0.88635,0.00802,5.6527,0.49887,0.43092,0.38873,0.21723,0.47682,0.44776,0.41121,0.32676,1.68237,1.13729,0.02911,1.84045,0.01115,0,0.0001784,0.0001784,0.0001784
94,1646.78,1.23151,0.51454,0.04392,0.88618,0.00839,5.67761,0.48752,0.37313,0.36592,0.20508,0.36785,0.61194,0.3959,0.3123,1.69644,1.15488,0.02801,1.84593,0.01122,0,0.0001586,0.0001586,0.0001586
95,1662.93,1.13867,0.50203,0.06018,0.90084,0.00782,5.67945,0.55322,0.35821,0.37069,0.20561,0.38024,0.57693,0.39865,0.31489,1.64357,1.15756,0.02802,1.82779,0.01093,0,0.0001388,0.0001388,0.0001388
96,1684.96,1.08668,0.44588,0.04019,0.87614,0.0074,5.38672,0.53116,0.35821,0.38326,0.21214,0.37826,0.56716,0.39737,0.3158,1.59364,1.1604,0.02875,1.82553,0.01069,0,0.000119,0.000119,0.000119
97,1701.8,1.08262,0.45091,0.05019,0.87694,0.00771,5.59647,0.5492,0.35821,0.37195,0.20292,0.37117,0.55224,0.38788,0.3081,1.62002,1.15915,0.0289,1.84824,0.01088,0,9.92e-05,9.92e-05,9.92e-05
98,1723.85,1.11688,0.52407,0.0428,0.84386,0.00751,5.54105,0.3413,0.50746,0.3685,0.20251,0.37441,0.55224,0.38516,0.30524,1.62955,1.15597,0.02793,1.8668,0.01096,0,7.94e-05,7.94e-05,7.94e-05
99,1745.47,1.10115,0.5102,0.0515,0.87905,0.00801,5.90589,0.34537,0.52762,0.36165,0.19778,0.38306,0.55224,0.38557,0.30977,1.66363,1.19184,0.02941,1.8719,0.01118,0,5.96e-05,5.96e-05,5.96e-05
100,1766.2,1.13002,0.43104,0.03427,0.84917,0.00787,5.46201,0.35214,0.58209,0.36164,0.20293,0.37925,0.55224,0.38691,0.31043,1.66937,1.18931,0.02833,1.87457,0.01118,0,3.98e-05,3.98e-05,3.98e-05
